house_type_id,bedroom_count,bathroom_count,rent_amount,publisher_identity,rent_duration,identity,City_geo,State_geo,Postcode_geo,geometry,year
Apartment,3.0,2.0,1095.0,0,5.8267148014440435,0.0,Hernando,Mississippi,38632,POINT (-89.9849626 34.8175932),2020
Apartment,2.0,2.0,1900.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07310,POINT (-74.0368649 40.7221975),2020
Apartment,2.0,2.0,1900.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07310,POINT (-74.0368649 40.7221975),2020
Apartment,1.0,1.0,1681.0,0,5.8267148014440435,0.0,Seattle,Washington,98121,POINT (-122.3542102 47.6170114),2020
House,2.0,1.25,200.0,0,3.0,0.0,Pekin,Illinois,61554,POINT (-89.6315333 40.539594),2020
House,1.0,1.0,1150.0,0,5.8267148014440435,0.0,Kirkland,Washington,98033,POINT (-122.16630652 47.69865736),2020
Apartment,1.0,1.0,4479.0,0,5.8267148014440435,0.0,New York,New York,10002,POINT (-73.99154148 40.70933063),2020
Apartment,1.0,1.0,3200.0,0,5.8267148014440435,0.0,New York,New York,10036,POINT (-73.9962998 40.7592874),2020
Townhouse,1.0,1.0,1300.0,0,6.0,0.0,Shoreline,Washington,98133,POINT (-122.3474659 47.7502852),2020
Apartment,2.0,2.0,2945.0,0,5.8267148014440435,0.0,Seattle,Washington,98109,POINT (-122.3308609 47.6222711),2020
Apartment,1.0,1.0,1100.0,0,5.8267148014440435,0.0,New York,New York,11206,POINT (-73.9352256 40.6997229),2020
Apartment,1.0,1.0,4000.0,1,8.0,0.0,Honolulu,Hawaii,96813,POINT (-157.8603784 21.310073),2020
House,2.0,1.25,300.0,0,5.0,0.0,Honolulu,Hawaii,96815,POINT (-157.8247965 21.2790018),2020
Apartment,2.0,2.0,400.0,1,12.0,0.0,Seattle,Washington,98175,POINT (-122.3226005 47.7080656),2020
Apartment,2.0,1.5,999.0,1,7.0,0.0,New York,New York,11101,POINT (-73.9382324 40.748231),2020
House,2.0,1.0,850.0,0,5.8267148014440435,0.0,Bellevue,Washington,98008,POINT (-122.11803833 47.63669564),2020
Apartment,4.0,4.0,1284.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.3128724 47.6651382),2020
Townhouse,2.0,1.0,600.0,0,5.8267148014440435,0.0,Union City,New Jersey,07047-2227,POINT (-74.0272104 40.7747033),2020
Apartment,2.0,2.0,1900.0,0,5.8267148014440435,0.0,Seattle,Washington,98115,POINT (-122.2649468 47.6825919),2020
Townhouse,3.0,3.5,3500.0,0,5.8267148014440435,0.0,Seattle,Washington,98109,POINT (-122.35093 47.626644),2020
